# #h[nm], U[kJ/mol]
  0.775262,  0.560000
  0.777909,  0.480000
  0.780555,  0.420000
  0.783201,  0.360000
  0.785847,  0.300000
  0.788493,  0.250000
  0.791139,  0.200000
  0.793786,  0.150000
  0.796432,  0.120000
  0.799078,  0.080000
  0.801724,  0.050000
  0.804370,  0.020000
  0.807016, -0.010000
  0.809663, -0.040000
  0.812309, -0.070000
  0.814955, -0.090000
  0.817601, -0.120000
  0.820247, -0.150000
  0.822894, -0.180000
  0.825540, -0.210000
  0.828186, -0.240000
  0.830832, -0.260000
  0.833478, -0.290000
  0.836124, -0.320000
  0.838771, -0.340000
  0.841417, -0.360000
  0.844063, -0.380000
  0.846709, -0.390000
  0.849355, -0.400000
  0.852001, -0.410000
  0.854648, -0.410000
  0.857294, -0.420000
  0.859940, -0.420000
  0.862586, -0.420000
  0.865232, -0.420000
  0.867879, -0.410000
  0.870525, -0.410000
  0.873171, -0.410000
  0.875817, -0.410000
  0.878463, -0.410000
  0.881109, -0.400000
  0.883756, -0.400000
  0.886402, -0.400000
  0.889048, -0.400000
  0.891694, -0.400000
  0.894340, -0.390000
  0.896986, -0.390000
  0.899633, -0.380000
  0.902279, -0.360000
  0.904925, -0.350000
  0.907571, -0.330000
  0.910217, -0.310000
  0.912864, -0.290000
  0.915510, -0.270000
  0.918156, -0.240000
  0.920802, -0.210000
  0.923448, -0.180000
  0.926094, -0.150000
  0.928741, -0.120000
  0.931387, -0.080000
  0.934033, -0.050000
  0.936679, -0.020000
  0.939325,  0.010000
  0.941971,  0.040000
  0.944618,  0.070000
  0.947264,  0.090000
  0.949910,  0.120000
  0.952556,  0.130000
  0.955202,  0.150000
  0.957848,  0.170000
  0.960495,  0.180000
  0.963141,  0.190000
  0.965787,  0.200000
  0.968433,  0.210000
  0.971079,  0.220000
  0.973726,  0.220000
  0.976372,  0.230000
  0.979018,  0.230000
  0.981664,  0.230000
  0.984310,  0.230000
  0.986956,  0.240000
  0.989603,  0.240000
  0.992249,  0.240000
  0.994895,  0.250000
  0.997541,  0.250000
  1.000187,  0.260000
  1.002833,  0.260000
  1.005480,  0.270000
  1.008126,  0.280000
  1.010772,  0.300000
  1.013418,  0.310000
  1.016064,  0.330000
  1.018711,  0.350000
  1.021357,  0.360000
  1.024003,  0.380000
  1.026649,  0.400000
  1.029295,  0.410000
  1.031941,  0.420000
  1.034588,  0.430000
  1.037234,  0.430000
  1.039880,  0.430000
  1.042526,  0.420000
  1.045172,  0.400000
  1.047818,  0.390000
  1.050465,  0.360000
  1.053111,  0.330000
  1.055757,  0.300000
  1.058403,  0.270000
  1.061049,  0.240000
  1.063695,  0.210000
  1.066342,  0.180000
  1.068988,  0.150000
  1.071634,  0.120000
  1.074280,  0.100000
  1.076926,  0.090000
  1.079573,  0.080000
  1.082219,  0.070000
  1.084865,  0.060000
  1.087511,  0.060000
  1.090157,  0.060000
  1.092803,  0.060000
  1.095450,  0.060000
  1.098096,  0.050000
  1.100742,  0.050000
  1.103388,  0.050000
  1.106034,  0.040000
  1.108680,  0.030000
  1.111327,  0.020000
  1.113973,  0.020000
  1.116619,  0.010000
  1.119265,  0.000000
  1.121911, -0.010000
  1.124558, -0.030000
  1.127204, -0.040000
  1.129850, -0.040000
  1.132496, -0.050000
  1.135142, -0.060000
  1.137788, -0.070000
  1.140435, -0.070000
  1.143081, -0.080000
  1.145727, -0.080000
  1.148373, -0.080000
  1.151019, -0.090000
  1.153665, -0.090000
  1.156312, -0.090000
  1.158958, -0.090000
  1.161604, -0.080000
  1.164250, -0.080000
  1.166896, -0.080000
  1.169542, -0.070000
  1.172189, -0.070000
  1.174835, -0.060000
  1.177481, -0.050000
  1.180127, -0.040000
  1.182773, -0.040000
  1.185420, -0.040000
  1.188066, -0.030000
  1.190712, -0.030000
  1.193358, -0.030000
  1.196004, -0.030000
  1.198650, -0.040000
  1.201297, -0.040000
  1.203943, -0.050000
  1.206589, -0.060000
  1.209235, -0.060000
  1.211881, -0.070000
  1.214527, -0.080000
  1.217174, -0.080000
  1.219820, -0.080000
  1.222466, -0.090000
  1.225112, -0.090000
  1.227758, -0.090000
  1.230405, -0.100000
  1.233051, -0.100000
  1.235697, -0.100000
  1.238343, -0.100000
  1.240989, -0.100000
  1.243635, -0.110000
  1.246282, -0.100000
  1.248928, -0.110000
  1.251574, -0.100000
  1.254220, -0.100000
  1.256866, -0.100000
  1.259512, -0.090000
  1.262159, -0.090000
  1.264805, -0.080000
  1.267451, -0.070000
  1.270097, -0.060000
  1.272743, -0.050000
  1.275389, -0.040000
  1.278036, -0.020000
  1.280682, -0.010000
  1.283328,  0.000000
  1.285974,  0.010000
  1.288620,  0.030000
  1.291267,  0.030000
  1.293913,  0.040000
  1.296559,  0.050000
