# PEG_PHE
# Upscaled from ../surface/PEG/PHE.dat to radius: 34.89955667698373 bead probs: 1.0
# surf-centre-dist[nm],U[kJ/mol]
  0.796000, -5.474042
  0.800000, -5.409240
  0.804000, -5.340538
  0.808000, -5.269450
  0.812000, -5.205284
  0.816000, -5.137919
  0.820000, -5.067877
  0.824000, -4.996675
  0.828000, -4.932930
  0.832000, -4.874760
  0.836000, -4.818307
  0.840000, -4.765442
  0.844000, -4.711400
  0.848000, -4.656781
  0.852000, -4.601618
  0.856000, -4.538518
  0.860000, -4.472850
  0.864000, -4.409598
  0.868000, -4.348821
  0.872000, -4.277406
  0.876000, -4.210039
  0.880000, -4.146298
  0.884000, -4.085652
  0.888000, -4.021184
  0.892000, -3.957617
  0.896000, -3.896201
  0.900000, -3.834223
  0.904000, -3.763857
  0.908000, -3.699603
  0.912000, -3.634521
  0.916000, -3.568424
  0.920000, -3.503975
  0.924000, -3.438034
  0.928000, -3.362872
  0.932000, -3.290809
  0.936000, -3.220005
  0.940000, -3.145803
  0.944000, -3.073753
  0.948000, -2.999334
  0.952000, -2.924718
  0.956000, -2.852390
  0.960000, -2.783045
  0.964000, -2.711603
  0.968000, -2.638732
  0.972000, -2.566220
  0.976000, -2.494899
  0.980000, -2.424124
  0.984000, -2.355775
  0.988000, -2.286276
  0.992000, -2.223204
  0.996000, -2.167378
  1.000000, -2.106937
  1.004000, -2.044563
  1.008000, -1.983095
  1.012000, -1.927153
  1.016000, -1.871859
  1.020000, -1.810402
  1.024000, -1.751505
  1.028000, -1.697093
  1.032000, -1.652801
  1.036000, -1.610603
  1.040000, -1.565792
  1.044000, -1.522278
  1.048000, -1.484147
  1.052000, -1.446251
  1.056000, -1.410303
  1.060000, -1.375855
  1.064000, -1.338871
  1.068000, -1.303143
  1.072000, -1.266733
  1.076000, -1.230366
  1.080000, -1.201868
  1.084000, -1.177602
  1.088000, -1.153153
  1.092000, -1.132014
  1.096000, -1.117099
  1.100000, -1.098041
  1.104000, -1.079609
  1.108000, -1.061088
  1.112000, -1.039349
  1.116000, -1.018218
  1.120000, -0.997332
  1.124000, -0.972752
  1.128000, -0.948141
  1.132000, -0.926009
  1.136000, -0.908837
  1.140000, -0.885901
  1.144000, -0.863156
  1.148000, -0.842823
  1.152000, -0.818493
  1.156000, -0.796783
  1.160000, -0.782049
  1.164000, -0.768420
  1.168000, -0.754156
