# #Autogenerated fromHID,HIE,HIP at pH: 7.4
# #h[nm],U[kJ/mol]
  0.614000,  0.807500
  0.615000,  0.807463
  0.616000,  0.807425
  0.617000,  0.803826
  0.618000,  0.800226
  0.619000,  0.795279
  0.620000,  0.790333
  0.621000,  0.783124
  0.622000,  0.775915
  0.623000,  0.764498
  0.624000,  0.753081
  0.625000,  0.739901
  0.626000,  0.726721
  0.627000,  0.709022
  0.628000,  0.691324
  0.629000,  0.671933
  0.630000,  0.652542
  0.631000,  0.631322
  0.632000,  0.610101
  0.633000,  0.585641
  0.634000,  0.561180
  0.635000,  0.536607
  0.636000,  0.512033
  0.637000,  0.484898
  0.638000,  0.457763
  0.639000,  0.430442
  0.640000,  0.403121
  0.641000,  0.379509
  0.642000,  0.355898
  0.643000,  0.333904
  0.644000,  0.311910
  0.645000,  0.292148
  0.646000,  0.272387
  0.647000,  0.256065
  0.648000,  0.239744
  0.649000,  0.228142
  0.650000,  0.216540
  0.651000,  0.205107
  0.652000,  0.193673
  0.653000,  0.185059
  0.654000,  0.176445
  0.655000,  0.164748
  0.656000,  0.153051
  0.657000,  0.141557
  0.658000,  0.130064
  0.659000,  0.117601
  0.660000,  0.105139
  0.661000,  0.091156
  0.662000,  0.077173
  0.663000,  0.059391
  0.664000,  0.041610
  0.665000,  0.019374
  0.666000, -0.002862
  0.667000, -0.024183
  0.668000, -0.045503
  0.669000, -0.066841
  0.670000, -0.088179
  0.671000, -0.111525
  0.672000, -0.134872
  0.673000, -0.155158
  0.674000, -0.175445
  0.675000, -0.194169
  0.676000, -0.212893
  0.677000, -0.227847
  0.678000, -0.242801
  0.679000, -0.255630
  0.680000, -0.268458
  0.681000, -0.278392
  0.682000, -0.288327
  0.683000, -0.298429
  0.684000, -0.308532
  0.685000, -0.319896
  0.686000, -0.331259
  0.687000, -0.344259
  0.688000, -0.357258
  0.689000, -0.374520
  0.690000, -0.391783
  0.691000, -0.409704
  0.692000, -0.427626
  0.693000, -0.449589
  0.694000, -0.471553
  0.695000, -0.494292
  0.696000, -0.517032
  0.697000, -0.537861
  0.698000, -0.558689
  0.699000, -0.581400
  0.700000, -0.604112
  0.701000, -0.621948
  0.702000, -0.639784
  0.703000, -0.651629
  0.704000, -0.663474
  0.705000, -0.672037
  0.706000, -0.680601
  0.707000, -0.683244
  0.708000, -0.685888
  0.709000, -0.685155
  0.710000, -0.684421
  0.711000, -0.681227
  0.712000, -0.678032
  0.713000, -0.674439
  0.714000, -0.670845
  0.715000, -0.668589
