# Generated by Parinaz Mosaddeghi Amini at University College Dublin, March 2023
# PMF between COM of side chain analogos CYS and Iron (fe-111) slab.
# 
# z(nm), (KJ/mol)
  0.848696, -2.837976
  0.850395, -2.880150
  0.852093, -2.915348
  0.853791, -2.942607
  0.855489, -2.961159
  0.857187, -2.972472
  0.858886, -2.979079
  0.860584, -2.977751
  0.862282, -2.971935
  0.863980, -2.960031
  0.865678, -2.949213
  0.867377, -2.935112
  0.869075, -2.923438
  0.870773, -2.912237
  0.872471, -2.904524
  0.874169, -2.897664
  0.875868, -2.899056
  0.877566, -2.905611
  0.879264, -2.915634
  0.880962, -2.930438
  0.882660, -2.951883
  0.884359, -2.981559
  0.886057, -3.017174
  0.887755, -3.054838
  0.889453, -3.098070
  0.891151, -3.143731
  0.892850, -3.192074
  0.894548, -3.241052
  0.896246, -3.290430
  0.897944, -3.335934
  0.899642, -3.385243
  0.901341, -3.431141
  0.903039, -3.475829
  0.904737, -3.514578
  0.906435, -3.550395
  0.908133, -3.582304
  0.909832, -3.610954
  0.911530, -3.636428
  0.913228, -3.662895
  0.914926, -3.680599
  0.916624, -3.697297
  0.918323, -3.706424
  0.920021, -3.713353
  0.921719, -3.717493
  0.923417, -3.717415
  0.925115, -3.709631
  0.926814, -3.697240
  0.928512, -3.675075
  0.930210, -3.641989
  0.931908, -3.600283
  0.933606, -3.547561
  0.935305, -3.481299
  0.937003, -3.401575
  0.938701, -3.304583
  0.940399, -3.187786
  0.942097, -3.053446
  0.943796, -2.899893
  0.945494, -2.723172
  0.947192, -2.524554
  0.948890, -2.303700
  0.950588, -2.062934
  0.952287, -1.803908
  0.953985, -1.535944
  0.955683, -1.259376
  0.957381, -0.981287
  0.959079, -0.716597
  0.960778, -0.470620
  0.962476, -0.258228
  0.964174, -0.087869
  0.965872,  0.026747
  0.967570,  0.071768
  0.969268,  0.034272
  0.970967, -0.098558
  0.972665, -0.337346
  0.974363, -0.688101
  0.976061, -1.157511
  0.977759, -1.759047
  0.979458, -2.485531
  0.981156, -3.333574
  0.982854, -4.301982
  0.984552, -5.378633
  0.986250, -6.552691
  0.987949, -7.812415
  0.989647, -9.139779
  0.991345,-10.516159
  0.993043,-11.923042
  0.994741,-13.336982
  0.996440,-14.740181
  0.998138,-16.110023
  0.999836,-17.431720
  1.001534,-18.683104
  1.003232,-19.857180
  1.004931,-20.937674
  1.006629,-21.918119
  1.008327,-22.791873
  1.010025,-23.554538
  1.011723,-24.207497
  1.013422,-24.744122
  1.015120,-25.179343
  1.016818,-25.508029
  1.018516,-25.741192
  1.020214,-25.882351
  1.021913,-25.937708
  1.023611,-25.919398
  1.025309,-25.825542
  1.027007,-25.670966
  1.028705,-25.462806
  1.030404,-25.207707
  1.032102,-24.907708
  1.033800,-24.572408
  1.035498,-24.204692
  1.037196,-23.807190
  1.038895,-23.380570
  1.040593,-22.929877
  1.042291,-22.460583
  1.043989,-21.969264
  1.045687,-21.459827
  1.047386,-20.932803
  1.049084,-20.388717
  1.050782,-19.834148
  1.052480,-19.265486
  1.054178,-18.683511
  1.055877,-18.095137
  1.057575,-17.499178
  1.059273,-16.901608
  1.060971,-16.299736
  1.062669,-15.696626
  1.064368,-15.096786
  1.066066,-14.506443
  1.067764,-13.923061
  1.069462,-13.355017
  1.071160,-12.801867
  1.072859,-12.269715
  1.074557,-11.762089
  1.076255,-11.277539
  1.077953,-10.825826
  1.079651,-10.405446
  1.081350,-10.014007
  1.083048, -9.649490
  1.084746, -9.310902
  1.086444, -8.997684
  1.088142, -8.702713
  1.089841, -8.427088
  1.091539, -8.164905
  1.093237, -7.909210
  1.094935, -7.658022
  1.096633, -7.408101
  1.098332, -7.157131
  1.100030, -6.901851
  1.101728, -6.641785
  1.103426, -6.379276
  1.105124, -6.113148
  1.106823, -5.851618
  1.108521, -5.590879
  1.110219, -5.340821
  1.111917, -5.104511
  1.113615, -4.890145
  1.115314, -4.697508
  1.117012, -4.535323
  1.118710, -4.409147
  1.120408, -4.318861
  1.122106, -4.270921
  1.123805, -4.258845
  1.125503, -4.286472
  1.127201, -4.350671
  1.128899, -4.447129
