# PMF between COM of SHIE and TiO2 slab.
#
#              SHIE
# z (nm)   (kJ/mol)                
  1.3856    0.28122
  1.3888    0.29222
  1.3920    0.29422
  1.3952    0.27622
  1.3984    0.24622
  1.4016    0.21422
  1.4048    0.19022
  1.4080    0.18122
  1.4112    0.17522
  1.4144    0.15922
  1.4176    0.12622
  1.4208    0.07522
  1.4240    0.02622
  1.4272   -0.00678
  1.4304   -0.01478
  1.4336   -0.00778
  1.4368    0.01322
  1.4400    0.04622
  1.4432    0.07522
  1.4464    0.09122
  1.4496    0.08322
  1.4528    0.06022
  1.4560    0.02622
  1.4592    0.00022
  1.4624   -0.01578
  1.4656   -0.02578
  1.4688   -0.03178
  1.4720   -0.03778
  1.4752   -0.02178
  1.4784    0.03622
  1.4816    0.10822
  1.4848    0.14322
  1.4880    0.10922
  1.4912    0.01722
  1.4944   -0.08378
  1.4976   -0.13078
  1.5008   -0.10978
  1.5040   -0.05178
  1.5072    0.00522
  1.5104    0.02722
  1.5136    0.01022
  1.5168   -0.03878
  1.5200   -0.08178
  1.5232   -0.08278
  1.5264   -0.03678
  1.5296    0.01222
  1.5328    0.01222
  1.5360   -0.02878
  1.5392   -0.06978
  1.5424   -0.08078
  1.5456   -0.05678
  1.5488   -0.02478
  1.5520    0.01222
  1.5552    0.04622
  1.5584    0.08222
  1.5616    0.09922
  1.5648    0.10222
  1.5680    0.08222
  1.5712    0.04822
  1.5744    0.00822
  1.5776   -0.03678
  1.5808   -0.07478
  1.5840   -0.09278
  1.5872   -0.08278
  1.5904   -0.04678
  1.5936    0.00222
  1.5968    0.03122
  1.6000    0.01222
