,,z/nm,(kJ/mol),E/ kbT,density,,,,,
,,0.636,24.9455,9.9782,4.64005149840256E-05,,,,,
,,0.638,24.32196,9.728784,5.95446563515718E-05,,,,,
,,0.64,23.70175,9.4807,7.63105011036783E-05,,,,,
,,0.642,23.08724,9.234896,9.7574340873109E-05,,,,,
,,0.644,22.48474,8.993896,0.0001241654,,,,,
,,0.646,21.88788,8.755152,0.000157647,,,,,
,,0.648,21.30319,8.521276,0.0001991851,,,,,
,,0.65,20.73263,8.293052,0.0002502495,,,,,
,,0.652,20.18475,8.0739,0.0003115658,,,,,
,,0.654,19.65591,7.862364,0.0003849627,,,,,
,,0.656,19.15067,7.660268,0.0004711811,,,,,
,,0.658,18.66623,7.466492,0.0005719311,,,,,
,,0.66,18.19801,7.279204,0.0006897344,,,,,
,,0.662,17.74154,7.096616,0.0008279018,,,,,
,,0.664,17.29125,6.9165,0.0009912934,,,,,
,,0.666,16.85238,6.740952,0.0011815218,,,,,
,,0.668,16.41529,6.566116,0.0014072526,,,,,
,,0.67,15.98323,6.393292,0.0016727405,,,,,
,,0.672,15.55224,6.220896,0.0019874637,,,,,
,,0.674,15.12656,6.050624,0.0023563912,,,,,
,,0.676,14.70899,5.883596,0.0027847533,,,,,
,,0.678,14.30452,5.721808,0.0032737865,,,,,
,,0.68,13.91664,5.566656,0.003823244,,,,,
,,0.682,13.54249,5.416996,0.0044404658,,,,,
,,0.684,13.19179,5.276716,0.0051091818,,,,,
,,0.686,12.86434,5.145736,0.0058241862,,,,,
,,0.688,12.5584,5.02336,0.0065823727,,,,,
,,0.69,12.25899,4.903596,0.0074198532,,,,,
,,0.692,11.97341,4.789364,0.0083177458,,,,,
,,0.694,11.70105,4.68042,0.0092751175,,,,,
,,0.696,11.4277,4.57108,0.0103467792,,,,,
,,0.698,11.16098,4.464392,0.0115116927,,,,,
,,0.7,10.90515,4.36206,0.0127520913,,,,,
,,0.702,10.66046,4.264184,0.0140633381,,,,,
,,0.704,10.42075,4.1683,0.0154785513,,,,,
,,0.706,10.19938,4.079752,0.0169116592,,,,,
,,0.708,9.97645,3.99058,0.0184889874,,,,,
,,0.71,9.76772,3.907088,0.0200989441,,,,,
,,0.712,9.56673,3.826692,0.02178155,,,,,
,,0.714,9.36887,3.747548,0.0235754821,,,,,
,,0.716,9.18073,3.672292,0.0254181447,,,,,
,,0.718,9.00102,3.600408,0.0273125766,,,,,
,,0.72,8.83292,3.533168,0.0292122248,,,,,
,,0.722,8.67118,3.468472,0.0311646138,,,,,
,,0.724,8.51416,3.405664,0.0331847781,,,,,
,,0.726,8.37321,3.349284,0.0351094835,,,,,
,,0.728,8.23417,3.293668,0.0371174526,,,,,
,,0.73,8.1012,3.24048,0.0391451009,,,,,
,,0.732,7.97136,3.188544,0.0412318608,,,,,
,,0.734,7.84426,3.137704,0.0433822894,,,,,
,,0.736,7.7219,3.08876,0.0455584118,,,,,
,,0.738,7.60711,3.042844,0.0476990403,,,,,
,,0.74,7.48211,2.992844,0.0501446224,,,,,
,,0.742,7.3639,2.94556,0.0525726109,,,,,
,,0.744,7.24355,2.89742,0.0551653633,,,,,
,,0.746,7.12835,2.85134,0.0577668614,,,,,
,,0.748,7.00698,2.802792,0.0606405177,,,,,
,,0.75,6.89462,2.757848,0.0634281189,,,,,
,,0.752,6.7857,2.71428,0.0662526377,,,,,
,,0.754,6.684,2.6736,0.0690033655,,,,,
,,0.756,6.59116,2.636464,0.0716140497,,,,,
,,0.758,6.50307,2.601228,0.0741824262,,,,,
,,0.76,6.41766,2.567064,0.076760584,,,,,
,,0.762,6.33422,2.533688,0.0793657789,,,,,
,,0.764,6.24798,2.499192,0.0821513501,,,,,
,,0.766,6.16854,2.467416,0.0848037089,,,,,
,,0.768,6.07805,2.43122,0.0879294931,,,,,
,,0.77,5.99143,2.396572,0.0910294681,,,,,
,,0.772,5.91384,2.365536,0.093898957,,,,,
,,0.774,5.83077,2.332308,0.0970714474,,,,,
,,0.776,5.74388,2.297552,0.100504578,,,,,
,,0.778,5.66154,2.264616,0.1038699129,,,,,
,,0.78,5.58184,2.232736,0.1072346344,,,,,
,,0.782,5.50493,2.201972,0.1105848698,,,,,
,,0.784,5.42943,2.171772,0.1139754733,,,,,
,,0.786,5.3625,2.145,0.117068037,,,,,
,,0.788,5.29303,2.117212,0.1203667436,,,,,
,,0.79,5.23168,2.092672,0.1233570849,,,,,
,,0.792,5.17097,2.068388,0.1263893572,,,,,
,,0.794,5.10131,2.040524,0.1299605937,,,,,
,,0.796,5.03773,2.015092,0.1333081385,,,,,
,,0.798,4.97392,1.989568,0.1367544906,,,,,
,,0.8,4.9102,1.96408,0.1402848894,,,,,
,,0.802,4.84792,1.939168,0.1438235612,,,,,
,,0.804,4.78615,1.91446,0.1474214187,,,,,
,,0.806,4.72648,1.890592,0.1509824008,,,,,
,,0.808,4.6621,1.86484,0.1549209953,,,,,
,,0.81,4.5967,1.83868,0.1590272035,,,,,
,,0.812,4.52992,1.811968,0.1633323822,,,,,
,,0.814,4.46866,1.787464,0.167384118,,,,,
,,0.816,4.40698,1.762792,0.1715651845,,,,,
,,0.818,4.35111,1.740444,0.1754424869,,,,,
,,0.82,4.30066,1.720264,0.1790188807,,,,,
,,0.822,4.25338,1.701352,0.1824367028,,,,,
,,0.824,4.21163,1.684652,0.1855089778,,,,,
,,0.826,4.17215,1.66886,0.1884617897,,,,,
,,0.828,4.13624,1.654496,0.1911883904,,,,,
,,0.83,4.09932,1.639728,0.194032812,,,,,
,,0.832,4.06699,1.626796,0.1965583392,,,,,
,,0.834,4.0323,1.61292,0.1993047936,,,,,
,,0.836,3.98974,1.595896,0.2027268039,,,,,
,,0.838,3.94668,1.578672,0.2062488148,,,,,
