# #Autogenerated fromHID,HIE,HIP at pH: 7.4
# #h[nm],U[kJ/mol]
  0.515000, -1.863193
  0.516000, -1.851340
  0.517000, -1.839486
  0.518000, -1.829132
  0.519000, -1.818779
  0.520000, -1.809727
  0.521000, -1.800676
  0.522000, -1.792927
  0.523000, -1.785177
  0.524000, -1.778428
  0.525000, -1.771679
  0.526000, -1.766151
  0.527000, -1.760624
  0.528000, -1.756078
  0.529000, -1.751532
  0.530000, -1.748208
  0.531000, -1.744884
  0.532000, -1.742541
  0.533000, -1.740199
  0.534000, -1.738757
  0.535000, -1.737315
  0.536000, -1.736917
  0.537000, -1.736518
  0.538000, -1.736699
  0.539000, -1.736881
  0.540000, -1.737963
  0.541000, -1.739046
  0.542000, -1.740931
  0.543000, -1.742815
  0.544000, -1.745521
  0.545000, -1.748226
  0.546000, -1.750994
  0.547000, -1.753761
  0.548000, -1.757670
  0.549000, -1.761578
  0.550000, -1.765648
  0.551000, -1.769717
  0.552000, -1.774088
  0.553000, -1.778460
  0.554000, -1.783233
  0.555000, -1.788005
  0.556000, -1.793099
  0.557000, -1.798192
  0.558000, -1.803767
  0.559000, -1.809342
  0.560000, -1.815138
  0.561000, -1.820935
  0.562000, -1.827034
  0.563000, -1.833133
  0.564000, -1.839250
  0.565000, -1.845368
  0.566000, -1.851448
  0.567000, -1.857528
  0.568000, -1.863528
  0.569000, -1.869528
  0.570000, -1.875510
  0.571000, -1.881491
  0.572000, -1.887373
  0.573000, -1.893256
  0.574000, -1.899039
  0.575000, -1.904823
  0.576000, -1.910507
  0.577000, -1.916192
  0.578000, -1.921877
  0.579000, -1.927561
  0.580000, -1.933048
  0.581000, -1.938535
  0.582000, -1.943701
  0.583000, -1.948866
  0.584000, -1.953433
  0.585000, -1.958000
  0.586000, -1.962789
  0.587000, -1.967578
  0.588000, -1.971645
  0.589000, -1.975712
  0.590000, -1.979563
  0.591000, -1.983413
  0.592000, -1.987103
  0.593000, -1.990793
  0.594000, -1.993965
  0.595000, -1.997136
  0.596000, -2.000209
  0.597000, -2.003281
  0.598000, -2.005452
  0.599000, -2.007624
  0.600000, -2.009696
  0.601000, -2.011769
  0.602000, -2.013742
  0.603000, -2.015716
  0.604000, -2.016868
  0.605000, -2.018021
